date,driving,public transport,walking,confirmed,deaths,tests,recovered,hospitalised,icu,vent
13/01/2020,100,100,100,0,0,0,0,0,0,0
14/01/2020,102.98,101.78,101.31,0,0,0,0,0,0,0
15/01/2020,104.21,100.64,101.82,0,0,0,0,0,0,0
16/01/2020,108.63,99.58,104.52,0,0,0,0,0,0,0
17/01/2020,109.08,98.34,113.73,0,0,0,0,0,0,0
18/01/2020,89,86.97,100.24,0,0,0,0,0,0,0
19/01/2020,99.35,99.87,98.57,0,0,0,0,0,0,0
20/01/2020,103.53,107.29,104.38,0,0,0,0,0,0,0
21/01/2020,106.8,109.13,108.51,0,0,0,0,0,0,0
22/01/2020,107.4,107.03,103.88,0,0,0,0,0,0,0
23/01/2020,115.65,106.64,112.4,0,0,0,0,0,0,0
24/01/2020,109.66,100.19,117.27,0,0,0,0,0,0,0
25/01/2020,88.59,90.61,103.02,4,0,0,0,0,0,0
26/01/2020,85.18,81.83,87.4,0,0,0,0,0,0,0
27/01/2020,95.91,101.78,96.18,1,0,0,0,0,0,0
28/01/2020,99.4,104.81,100.57,0,0,0,0,0,0,0
29/01/2020,99.92,103.03,100.25,4,0,0,0,0,0,0
30/01/2020,103.04,101.91,100.73,0,0,0,0,0,0,0
31/01/2020,103.73,97.77,108.69,0,0,0,0,0,0,0
1/02/2020,85.73,87.49,96.55,1,0,0,0,0,0,0
2/02/2020,93.39,98.72,92.71,2,0,0,0,0,0,0
3/02/2020,95.83,99.03,95.77,0,0,0,0,0,0,0
4/02/2020,98.63,102.4,99.1,1,0,0,0,0,0,0
5/02/2020,102.4,100.27,97.65,1,0,0,0,0,0,0
6/02/2020,107.46,100.82,97.97,1,0,0,0,0,0,0
7/02/2020,106.55,102.46,112.07,0,0,0,0,0,0,0
8/02/2020,86.33,84.1,88.84,0,0,0,0,0,0,0
9/02/2020,98.78,100.46,93.13,0,0,0,0,0,0,0
10/02/2020,100.08,105.77,100.34,0,0,0,0,0,0,0
11/02/2020,103.28,105.48,101.59,0,0,0,0,0,0,0
12/02/2020,106.19,106.71,104.56,0,0,0,0,0,0,0
13/02/2020,116.62,113.2,116.84,0,0,0,0,0,0,0
14/02/2020,115.36,111.33,129.56,0,0,0,0,0,0,0
15/02/2020,93.51,98.78,110.5,0,0,0,0,0,0,0
16/02/2020,98.27,109.3,103.76,0,0,0,0,0,0,0
17/02/2020,101.79,111.03,102.99,0,0,0,0,0,0,0
18/02/2020,105.38,115.59,107.3,0,0,0,0,0,0,0
19/02/2020,107.29,114.53,112.78,0,0,0,0,0,0,0
20/02/2020,113.37,116.25,116.31,0,0,0,0,0,0,0
21/02/2020,118.25,120.68,133.9,4,0,0,0,0,0,0
22/02/2020,97.6,104.35,113.52,1,0,0,0,0,0,0
23/02/2020,97.5,115.32,103.12,0,0,0,0,0,0,0
24/02/2020,102.7,119.81,106,0,0,0,0,0,0,0
25/02/2020,104.46,118.98,109.06,0,0,0,0,0,0,0
26/02/2020,106.23,115.46,109.52,0,0,0,0,0,0,0
27/02/2020,113.6,119.34,116.49,3,0,0,0,0,0,0
28/02/2020,117.64,122.09,135.14,2,0,0,0,0,0,0
